fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221018 143511	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	350	1	1	1	0.1	50	0.5	FALSE	690621	0.21122591482017	0.947180003637914	2782	622	0.00334199746343128	17280	63840000	1
20221018 144104	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	235	1	1	1	0.1	50	0.5	FALSE	690621	0.106148067391041	0.496644168742932	4808	1119	0.0344650177613799	21097	63166000	2
20221018 145627	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	902	1	1	1	0.1	50	0.5	FALSE	690621	0.228804009545638	0.350895395397674	3194	1018	0.000139159009049261	17105	63950000	3
20221018 151416	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1636	1	1	1	0.1	50	0.5	FALSE	690621	0.0377033677234431	0.811735667393077	5584	102	0.027674369427358	17317	65606000	4
20221018 152441	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	601	1	1	1	0.1	50	0.5	FALSE	690621	0.173892624293076	0.545216797245666	5397	1520	0.0123868226753968	17329	63982000	5
20221018 153108	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	404	1	1	1	0.1	50	0.5	FALSE	690621	0.162493722656727	0.334488193853758	6789	440	0.0303116783631935	19895	62850000	6
20221018 154217	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	331	1	1	1	0.1	50	0.5	FALSE	690621	0.142861504693064	0.97114330396289	395	1700	9.15957785155778e-06	17609	67502000	7
20221018 155023	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	704	1	1	1	0.1	50	0.5	FALSE	690621	0.0701109357200767	0.70988996932283	3625	1216	0.0193773379977483	17681	65758000	8
20221018 160111	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	785	1	1	1	0.1	50	0.5	FALSE	690621	0.128569992585763	0.767208616936114	1213	720	8.47721502810238e-06	17573	66934000	9
20221018 160608	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	437	1	1	1	0.1	50	0.5	FALSE	690621	0.270451562522576	0.666699455981143	6166	325	0.0126366400027207	18158	62644000	10
